Designator,Package,Quantity,Designation,Quantity * 7,Supplier and ref
U8,SOT-223-3_TabPin2,1,MCP1804T-3302I/DB,7,http://cz.farnell.com/microchip/mcp1804t-3302i-db/ldo-fixed-3-3v-0-15a-sot-223-3/dp/2809952
J1,USB_Micro-B_Wuerth-614105150721_Vertical_CircularHoles,1,USB_B_Micro,7,http://cz.farnell.com/gct-global-connector-technology/usb3145-30-1-a/micro-usb-2-0-type-b-receptacle/dp/2443141
C14,C_0805_HandSoldering,1,10u,7,http://cz.farnell.com/tdk/c2012x7r1a106k125ac/cap-mlcc-x7r-10uf-10v-0805/dp/2346934
U1,SOT-23-6,1,USBLC6-2SC6,7,http://cz.farnell.com/stmicroelectronics/usblc6-2sc6/esd-protection-3-5pf-17v-sot23/dp/1269406
U5,LGA-24L_3x3.5mm_Pitch0.43mm,1,LSM9DS1,7,http://cz.farnell.com/stmicroelectronics/lsm9ds1tr/mems-accelero-gyroscope-magneto/dp/2532383
U6,TO-263-7_TabPin4,1,TLE52062GAUMA1,7,http://cz.farnell.com/infineon/tle52062gauma1/motor-driver-h-bridge-to-263-7/dp/2480504
"C18,C19",C_0805_HandSoldering,2,1u/50V,14,http://cz.farnell.com/tdk/c2012x7r1h105k125ab/cap-mlcc-x7r-1uf-50v-0805/dp/2346944
